City,Population,County,State,FullState,MSA,,
West Covina,107847,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Broken Arrow,107403,Tulsa County,OK,Oklahoma,"Tulsa, OK",,
Clovis,106583,Fresno County,CA,California,"Fresno, CA",,
Daly City,106472,San Mateo County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",,
Lakeland,106420,Polk County,FL,Florida,"Lakeland-Winter Haven, FL",,
Santa Maria,106290,Santa Barbara County,CA,California,"Santa Maria-Santa Barbara, CA",,
Norwalk,106178,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Sandy Springs,105703,Fulton County,GA,Georgia,"Atlanta-Sandy Springs-Roswell, GA",,
Hillsboro,105164,Washington County,OR,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",,
Green Bay,105139,Brown County,WI,Wisconsin,"Green Bay, WI",,
Tyler,104798,Smith County,TX,Texas,"Tyler, TX",,
Wichita Falls,104724,Wichita County,TX,Texas,"Wichita Falls, TX",,
Lewisville,104659,Denton County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
Burbank,104447,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Greeley,103990,Weld County,CO,Colorado,"Greeley, CO",,
San Mateo,103959,San Mateo County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",,
El Cajon,103768,San Diego County,CA,California,"San Diego-Carlsbad, CA",,
Jurupa Valley,103541,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",,
Rialto,103314,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",,
Davenport,102612,Scott County,IA,Iowa,"Davenport-Moline-Rock Island, IA-IL",,
League City,102010,Galveston County,TX,Texas,"Houston-The Woodlands-Sugar Land, TX",,
Davie,101871,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",,
Las Cruces,101759,Doña Ana County,NM,New Mexico,"Las Cruces, NM",,
South Bend,101735,St. Joseph County,IN,Indiana,"South Bend-Mishawaka, IN-MI",,
Vista,101659,San Diego County,CA,California,"San Diego-Carlsbad, CA",,
Renton,100953,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",,
San Angelo,100702,Tom Green County,TX,Texas,"San Angelo, TX",,
